Date,Bank Index,WFC Close Price,JPM Close Price,BAC Close Price
2020-04-22,3.021749973297119,26.8,89.34,21.8
2020-04-23,3.072499990463257,26.53,89.39,21.87
2020-04-24,3.0269999504089355,26.92,90.71,22.18
2020-04-27,3.2332499027252197,28.41,94.62,23.47
2020-04-28,3.3627500534057617,28.87,95.29,23.89
2020-04-29,3.544250011444092,30.0,97.86,24.78
2020-04-30,3.407249927520752,29.05,95.76,24.05
2020-05-01,3.246500015258789,27.59,93.25,23.08
2020-05-04,3.1470000743865967,27.35,92.14,22.93
2020-05-05,3.2637500762939453,26.32,92.0,22.66
2020-05-06,3.091249942779541,25.61,90.27,22.35
2020-05-07,3.216249942779541,25.23,91.21,22.84
2020-05-11,3.1177499294281006,24.78,89.97,22.58
2020-05-12,3.0712499618530273,24.04,87.03,21.87
2020-05-13,2.845249891281128,22.53,84.03,20.87
2020-05-14,2.8862500190734863,24.06,87.52,21.71
2020-05-15,2.921750068664551,23.36,85.9,21.44
2020-05-18,3.1232500076293945,25.41,90.45,22.93
2020-05-19,3.146250009536743,23.95,88.67,22.21
2020-05-20,3.163000106811523,24.52,91.33,22.91
2020-05-21,3.1419999599456787,24.46,90.17,22.9
2020-05-22,3.0980000495910645,24.17,89.47,22.66
2020-05-26,3.3494999408721924,26.26,95.82,24.28
2020-05-27,3.5132501125335693,27.95,101.37,25.98
2020-05-28,3.5334999561309814,27.22,99.86,24.86
2020-05-29,3.415250062942505,26.47,97.31,24.12
2020-06-01,3.4892499446868896,27.09,98.6,24.61
2020-06-02,3.51200008392334,27.4,98.93,24.84
2020-06-03,3.681250095367432,28.83,104.27,25.99
2020-06-04,3.73550009727478,30.22,106.44,26.78
2020-06-05,4.076250076293945,31.67,111.23,28.11
2020-06-08,4.107749938964844,33.32,113.45,28.54
2020-06-09,3.992000102996826,32.63,110.54,28.22
2020-06-10,3.8717501163482666,29.71,106.06,26.6
2020-06-11,3.507499933242798,26.79,97.21,23.93
2020-06-12,3.47475004196167,27.97,99.87,24.78
2020-06-15,3.50600004196167,28.21,101.25,25.15
2020-06-16,3.7214999198913574,28.52,102.06,25.8
2020-06-17,3.6392500400543217,27.45,99.48,25.0
2020-06-18,3.6252501010894775,27.55,98.94,25.04
2020-06-19,3.6015000343322754,27.6,97.81,25.25
2020-06-22,3.5767500400543213,27.35,96.75,24.62
2020-06-23,3.578249931335449,27.23,97.93,24.79
2020-06-24,3.4207499027252197,26.12,94.66,23.81
2020-06-25,3.435499906539917,27.37,97.96,24.72
2020-06-26,3.2894999980926514,25.34,92.59,23.15
2020-06-29,3.3635001182556152,25.7,93.0,23.39
2020-06-30,3.419250011444092,25.6,94.06,23.75
2020-07-01,3.339750051498413,25.09,93.26,23.26
2020-07-02,3.343250036239624,25.34,92.66,23.29
2020-07-06,3.3597500324249268,25.49,95.0,23.66
2020-07-07,3.294749975204468,24.46,92.32,23.01
